dep;week;P;T;cl_age90
02;2020-S30;8;287;29
02;2020-S30;3;312;39
02;2020-S30;2;254;49
02;2020-S30;0;256;59
02;2020-S30;3;267;69
02;2020-S30;2;181;79
02;2020-S30;1;102;89
02;2020-S30;2;41;90
02;2020-S30;23;2020;0
02;2020-S31;2;105;09
02;2020-S31;2;212;19
02;2020-S31;0;277;29
02;2020-S31;3;305;39
02;2020-S31;1;275;49
02;2020-S31;1;293;59
02;2020-S31;2;275;69
02;2020-S31;2;222;79
02;2020-S31;3;125;89
02;2020-S31;1;34;90
02;2020-S31;17;2124;0
02;2020-S32;4;105;09
02;2020-S32;4;206;19
02;2020-S32;2;266;29
02;2020-S32;2;286;39
02;2020-S32;6;291;49
02;2020-S32;2;289;59
02;2020-S32;2;266;69
02;2020-S32;6;209;79
02;2020-S32;1;115;89
02;2020-S32;0;30;90
02;2020-S32;29;2063;0
02;2020-S33;0;90;09
02;2020-S33;4;167;19
02;2020-S33;7;253;29
02;2020-S33;1;225;39
02;2020-S33;2;225;49
02;2020-S33;5;231;59
02;2020-S33;5;198;69
02;2020-S33;2;185;79
02;2020-S33;1;107;89
02;2020-S33;0;38;90
02;2020-S33;27;1719;0
02;2020-S34;2;78;09
02;2020-S34;4;329;19
02;2020-S34;34;468;29
02;2020-S34;6;372;39
02;2020-S34;8;419;49
02;2020-S34;6;389;59
02;2020-S34;3;321;69
02;2020-S34;2;232;79
02;2020-S34;1;153;89
02;2020-S34;2;49;90
02;2020-S34;68;2811;0
02;2020-S35;4;86;09
02;2020-S35;8;290;19
02;2020-S35;25;444;29
02;2020-S35;16;435;39
02;2020-S35;17;416;49
02;2020-S35;10;450;59
02;2020-S35;4;359;69
02;2020-S35;5;249;79
02;2020-S35;3;146;89
02;2020-S35;0;52;90
02;2020-S35;92;2927;0
02;2020-S36;4;164;09
02;2020-S36;22;329;19
02;2020-S36;25;566;29
02;2020-S36;26;545;39
02;2020-S36;13;540;49
02;2020-S36;13;539;59
02;2020-S36;4;417;69
02;2020-S36;5;254;79
02;2020-S36;1;135;89
02;2020-S36;0;59;90
02;2020-S36;113;3548;0
02;2020-S37;8;566;09
02;2020-S37;38;831;19
02;2020-S37;60;840;29
02;2020-S37;21;892;39
02;2020-S37;24;753;49
02;2020-S37;15;638;59
02;2020-S37;17;478;69
02;2020-S37;8;329;79
02;2020-S37;1;176;89
02;2020-S37;2;69;90
02;2020-S37;194;5572;0
02;2020-S38;13;610;09
02;2020-S38;59;1374;19
02;2020-S38;60;986;29
02;2020-S38;31;1052;39
02;2020-S38;25;940;49
02;2020-S38;23;758;59
02;2020-S38;14;498;69
02;2020-S38;13;344;79
02;2020-S38;5;187;89
02;2020-S38;3;72;90
02;2020-S38;246;6823;0
02;2020-S39;8;193;09
02;2020-S39;45;886;19
02;2020-S39;47;756;29
02;2020-S39;36;684;39
02;2020-S39;33;634;49
02;2020-S39;34;600;59
02;2020-S39;22;439;69
02;2020-S39;20;342;79
02;2020-S39;8;202;89
02;2020-S39;1;106;90
02;2020-S39;254;4842;0
03;2020-S21;0;40;09
03;2020-S21;0;47;19
03;2020-S21;14;211;29
03;2020-S21;7;138;39
03;2020-S21;1;143;49
03;2020-S21;1;159;59
03;2020-S21;0;121;69
03;2020-S21;2;104;79
03;2020-S21;2;96;89
03;2020-S21;0;45;90
03;2020-S21;27;1106;0
03;2020-S22;0;51;09
03;2020-S22;1;64;19
03;2020-S22;0;108;29
03;2020-S22;0;111;39
03;2020-S22;1;144;49
03;2020-S22;3;155;59
03;2020-S22;3;141;69
03;2020-S22;0;128;79
03;2020-S22;0;104;89
03;2020-S22;1;56;90
03;2020-S22;9;1063;0
03;2020-S23;0;32;09
03;2020-S23;0;104;19
03;2020-S23;1;183;29
03;2020-S23;0;159;39
03;2020-S23;0;138;49
03;2020-S23;0;154;59
03;2020-S23;0;121;69
03;2020-S23;0;124;79
03;2020-S23;2;105;89
03;2020-S23;0;72;90
03;2020-S23;3;1192;0
03;2020-S24;1;27;09
03;2020-S24;1;73;19
03;2020-S24;1;81;29
03;2020-S24;1;92;39
03;2020-S24;0;90;49
03;2020-S24;0;110;59
03;2020-S24;1;118;69
03;2020-S24;0;132;79
03;2020-S24;1;87;89
03;2020-S24;1;26;90
03;2020-S24;7;836;0
03;2020-S25;0;53;09
03;2020-S25;1;74;19
03;2020-S25;0;107;29
03;2020-S25;2;130;39
03;2020-S25;2;147;49
03;2020-S25;0;137;59
03;2020-S25;0;139;69
03;2020-S25;0;135;79
03;2020-S25;0;88;89
03;2020-S25;0;33;90
03;2020-S25;5;1045;0
03;2020-S26;1;49;09
03;2020-S26;0;75;19
03;2020-S26;1;103;29
03;2020-S26;1;111;39
03;2020-S26;0;127;49
03;2020-S26;0;118;59
03;2020-S26;0;103;69
03;2020-S26;0;133;79
03;2020-S26;0;100;89
03;2020-S26;0;30;90
03;2020-S26;3;949;0
03;2020-S27;0;90;09
03;2020-S27;3;119;19
03;2020-S27;0;127;29
03;2020-S27;0;106;39
03;2020-S27;0;108;49
03;2020-S27;2;169;59
03;2020-S27;0;123;69
03;2020-S27;0;140;79
03;2020-S27;1;82;89
03;2020-S27;0;34;90
03;2020-S27;6;1098;0
03;2020-S28;0;83;09
03;2020-S28;0;99;19
03;2020-S28;0;106;29
03;2020-S28;1;121;39
03;2020-S28;0;105;49
03;2020-S28;0;130;59
03;2020-S28;1;140;69
03;2020-S28;1;120;79
03;2020-S28;0;88;89
03;2020-S28;0;30;90
03;2020-S28;3;1023;0
03;2020-S29;0;73;09
03;2020-S29;0;99;19
03;2020-S29;1;135;29
03;2020-S29;4;132;39
03;2020-S29;3;120;49
03;2020-S29;0;101;59
03;2020-S29;0;146;69
03;2020-S29;0;151;79
03;2020-S29;0;92;89
03;2020-S29;0;36;90
03;2020-S29;8;1085;0
03;2020-S30;4;104;09
03;2020-S30;1;135;19
03;2020-S30;6;171;29
03;2020-S30;1;169;39
03;2020-S30;1;162;49
03;2020-S30;0;160;59
03;2020-S30;0;185;69
03;2020-S30;2;171;79
03;2020-S30;0;110;89
03;2020-S30;0;35;90
03;2020-S30;15;1403;0
03;2020-S31;0;96;09
03;2020-S31;3;196;19
03;2020-S31;1;282;29
03;2020-S31;3;254;39
03;2020-S31;0;250;49
03;2020-S31;1;262;59
03;2020-S31;1;229;69
03;2020-S31;0;154;79
03;2020-S31;0;105;89
03;2020-S31;0;43;90
03;2020-S31;9;1871;0
03;2020-S32;1;58;09
03;2020-S32;2;147;19
03;2020-S32;1;205;29
03;2020-S32;1;201;39
03;2020-S32;0;187;49
03;2020-S32;0;199;59
03;2020-S32;1;187;69
03;2020-S32;1;168;79
03;2020-S32;1;124;89
03;2020-S32;0;75;90
03;2020-S32;8;1551;0
03;2020-S33;0;59;09
03;2020-S33;1;145;19
03;2020-S33;2;215;29
03;2020-S33;3;183;39
03;2020-S33;1;226;49
03;2020-S33;0;201;59
03;2020-S33;1;174;69
03;2020-S33;3;154;79
03;2020-S33;0;129;89
03;2020-S33;1;125;90
03;2020-S33;12;1611;0
03;2020-S34;0;78;09
03;2020-S34;8;237;19
03;2020-S34;7;322;29
03;2020-S34;4;273;39
03;2020-S34;3;256;49
03;2020-S34;4;271;59
03;2020-S34;3;235;69
03;2020-S34;4;223;79
03;2020-S34;0;168;89
03;2020-S34;0;65;90
03;2020-S34;33;2128;0
03;2020-S35;0;103;09
03;2020-S35;8;320;19
03;2020-S35;15;512;29
03;2020-S35;5;438;39
03;2020-S35;8;493;49
03;2020-S35;7;481;59
03;2020-S35;9;426;69
03;2020-S35;4;374;79
03;2020-S35;0;204;89
03;2020-S35;1;97;90
03;2020-S35;57;3448;0
03;2020-S36;2;225;09
03;2020-S36;14;357;19
03;2020-S36;25;595;29
03;2020-S36;6;525;39
03;2020-S36;6;480;49
03;2020-S36;11;511;59
03;2020-S36;3;405;69
03;2020-S36;6;320;79
03;2020-S36;1;176;89
03;2020-S36;1;113;90
03;2020-S36;75;3707;0
03;2020-S37;3;484;09
03;2020-S37;7;681;19
03;2020-S37;35;661;29
03;2020-S37;12;657;39
03;2020-S37;17;627;49
03;2020-S37;14;565;59
03;2020-S37;7;468;69
03;2020-S37;1;335;79
03;2020-S37;4;213;89
03;2020-S37;1;106;90
03;2020-S37;101;4801;0
03;2020-S38;4;374;09
03;2020-S38;23;932;19
03;2020-S38;41;774;29
03;2020-S38;11;752;39
03;2020-S38;16;718;49
03;2020-S38;16;693;59
03;2020-S38;5;517;69
03;2020-S38;2;436;79
03;2020-S38;8;293;89
03;2020-S38;4;119;90
03;2020-S38;130;5608;0
03;2020-S39;0;95;09
03;2020-S39;9;568;19
03;2020-S39;22;433;29
03;2020-S39;15;387;39
03;2020-S39;6;421;49
03;2020-S39;10;423;59
03;2020-S39;10;437;69
03;2020-S39;16;371;79
03;2020-S39;4;216;89
03;2020-S39;5;61;90
03;2020-S39;97;3413;0
04;2020-S21;0;22;09
04;2020-S21;0;23;19
04;2020-S21;0;39;29
04;2020-S21;1;36;39
04;2020-S21;1;47;49
04;2020-S21;1;70;59
04;2020-S21;1;81;69
04;2020-S21;0;73;79
04;2020-S21;0;55;89
04;2020-S21;0;19;90
04;2020-S21;4;465;0
04;2020-S22;0;28;09
04;2020-S22;0;32;19
04;2020-S22;0;44;29
04;2020-S22;0;41;39
04;2020-S22;0;71;49
04;2020-S22;0;64;59
04;2020-S22;1;86;69
04;2020-S22;1;101;79
04;2020-S22;0;61;89
04;2020-S22;0;24;90
04;2020-S22;2;552;0
04;2020-S23;0;22;09
04;2020-S23;0;23;19
04;2020-S23;0;50;29
04;2020-S23;0;67;39
04;2020-S23;0;100;49
04;2020-S23;0;120;59
04;2020-S23;0;115;69
04;2020-S23;0;118;79
04;2020-S23;1;125;89
04;2020-S23;0;84;90
04;2020-S23;1;824;0
04;2020-S24;0;20;09
04;2020-S24;0;39;19
04;2020-S24;1;60;29
04;2020-S24;0;44;39
04;2020-S24;1;50;49
04;2020-S24;0;78;59
04;2020-S24;0;81;69
04;2020-S24;0;88;79
04;2020-S24;0;79;89
04;2020-S24;0;14;90
04;2020-S24;2;553;0
04;2020-S25;0;22;09
04;2020-S25;0;30;19
04;2020-S25;0;34;29
04;2020-S25;0;42;39
04;2020-S25;0;64;49
04;2020-S25;0;73;59
04;2020-S25;0;81;69
04;2020-S25;0;101;79
04;2020-S25;0;67;89
04;2020-S25;1;28;90
04;2020-S25;1;542;0
04;2020-S26;0;29;09
04;2020-S26;0;39;19
04;2020-S26;0;34;29
04;2020-S26;1;47;39
04;2020-S26;0;61;49
04;2020-S26;0;68;59
04;2020-S26;0;86;69
04;2020-S26;0;84;79
04;2020-S26;0;51;89
04;2020-S26;0;23;90
04;2020-S26;1;522;0
04;2020-S27;0;22;09
04;2020-S27;0;45;19
04;2020-S27;0;53;29
04;2020-S27;0;59;39
04;2020-S27;0;63;49
04;2020-S27;0;69;59
04;2020-S27;0;73;69
04;2020-S27;0;79;79
04;2020-S27;0;57;89
04;2020-S27;0;37;90
04;2020-S27;0;557;0
04;2020-S28;0;60;09
04;2020-S28;0;53;19
04;2020-S28;0;55;29
04;2020-S28;0;87;39
04;2020-S28;0;47;49
04;2020-S28;0;75;59
04;2020-S28;0;70;69
04;2020-S28;0;75;79
04;2020-S28;0;57;89
04;2020-S28;0;20;90
04;2020-S28;0;599;0
04;2020-S29;1;61;09
04;2020-S29;0;65;19
04;2020-S29;0;78;29
04;2020-S29;0;100;39
04;2020-S29;1;82;49
04;2020-S29;0;72;59
04;2020-S29;0;105;69
04;2020-S29;1;83;79
04;2020-S29;0;36;89
04;2020-S29;0;20;90
04;2020-S29;3;703;0
04;2020-S30;0;67;09
04;2020-S30;0;82;19
04;2020-S30;0;111;29
04;2020-S30;2;128;39
04;2020-S30;1;94;49
04;2020-S30;0;108;59
04;2020-S30;0;115;69
04;2020-S30;0;103;79
04;2020-S30;0;62;89
04;2020-S30;1;34;90
04;2020-S30;4;905;0
04;2020-S31;0;56;09
04;2020-S31;2;120;19
04;2020-S31;3;170;29
04;2020-S31;2;128;39
04;2020-S31;2;169;49
04;2020-S31;2;175;59
04;2020-S31;1;152;69
04;2020-S31;0;110;79
04;2020-S31;0;77;89
04;2020-S31;0;44;90
04;2020-S31;12;1201;0
04;2020-S32;0;34;09
04;2020-S32;6;79;19
04;2020-S32;1;98;29
04;2020-S32;3;125;39
04;2020-S32;3;139;49
04;2020-S32;5;139;59
04;2020-S32;1;120;69
04;2020-S32;1;115;79
04;2020-S32;0;68;89
04;2020-S32;0;37;90
04;2020-S32;20;954;0
04;2020-S33;0;38;09
04;2020-S33;3;111;19
04;2020-S33;7;184;29
04;2020-S33;5;158;39
04;2020-S33;7;173;49
